State,Deaths,TotalConfirmed,,,
Andaman and Nicob Islands,76,6367,,,
Andhra Pradesh,8707,"12,87,603",,,
Arunachal Pradesh,60,20165,,,
Assam,1676,292368,,,
Bihar,3282,591476,,,
Chandigarh,568,50207,,,
Chhattisgarh,10570,851476,,,
Dadra and Nagar Haveli and Daman and Diu,4,8847,,,
Delhi,19344,1323567,,,
Goa,1612,116213,,,
Gujarat,8394,681012,,,
Haryana,5605,615897,,,
Himachal Pradesh,1885,131423,,,
Jammu and Kashmir,2726,216923,,,
Jharkhand,3853,286343,,,
Karnataka,18776,1934378,,,
Kerala,5814,1902628,,,
Ladhak,155,15317,,,
Lakshadweep,9,3881,,,
Madhya Pradesh,6420,671763,,,
Maharashtra,75849,5101737,,,
Manipur,476,35354,,,
Meghalaya,228,19720,,,
Mizoram,21,7623,,,
Nagaland,140,16150,,,
Odisha,2180,534842,,,
Puducherry,965,71709,,,
Punjab,10506,442125,,,
Rajasthan,5665,756707,,,
Sikkim,165,9878,,,
Tamil Nadu,15648,1380259,,,
Telangana,2739,497361,,,
Tripura,410,37692,,,
Uttarakhand,3728,244273,,,
Uttar Pradesh,15464,1503490,,,
West Bengal,12327,993159,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
